,run_id,index,zmq_version_string,benchmark_type,helics_version_string,helics_version,zmq_version,path,compiler_info_string,generator,system,system_version,platform,cxx_compiler,cxx_compiler_version,load_avg,host_processor,host_processor_string,date,host_name,num_cpus,mhz_per_cpu,cpu_scaling_enabled,library_build_type,build_flags_string,type,level,size,num_sharing,filter_location,iterations,repetition_index,repetitions,run_type,threads,time_unit
20,bScQ6,31996, ZMQ v4.3.2,full,2.3.1-develop-g8ea9bfa5 (2020-01-09),2.3.1,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-01-09,Visual Studio 15 2017 x64 Windows-10.0.18362:MSVC-19.16.27026.1,Visual Studio 15 2017,Windows,10.0.18362,x64,MSVC,19.16.27026.1,[],AMD64,AMD Ryzen Threadripper 1950X 16-Core Processor,2020-01-09 23:04:49,SIRIUS,32,3394,False,release, /DWIN32 /D_WINDOWS /W3 /GR /EHsc /MD /O2 /Ob2 /DNDEBUG /machine:x64 /EHsc;/std:c++14,Data,1,32768000,2,nan,1,0,0,iteration,1,s
21,cMY7u,11912, ZMQ v4.3.2,full,2.3.1-benchmark_old_cmake-g9fe5f995 (2019-11-29),2.3.1,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-11-29,Unix Makefiles Linux-5.2.15-200.fc30.x86_64:GNU-9.2.1,Unix Makefiles,Linux,5.2.15-200.fc30.x86_64:,,GNU,9.2.1,"[2.27, 1.5, 2.48]",x86_64,Intel(R) Core(TM) i3-8350K CPU @ 4.00GHz,2019-11-30 03:53:36,localhost.localdomain,4,4000,True,release,  -O2 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,Unified,3,8192000000,4,nan,1,0,0,iteration,1,s
22,ewb4n,55945, ZMQ v4.3.2,full,2.5.1-develop-g80ecfd1e (2020-06-04),2.5.1,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-06-04,Visual Studio 16 2019 x64 Windows-10.0.17763:MSVC-19.26.28806.0,Visual Studio 16 2019,Windows,10.0.17763,x64,MSVC,19.26.28806.0,[],AMD64,Intel(R) Xeon(R) W-2295 CPU @ 3.00GHz,2020-06-04 08:18:25,LEAVITT,36,3000,False,release, /DWIN32 /D_WINDOWS /GR /EHsc /O2 /Ob2 /DNDEBUG /machine:x64 /EHsc;/std:c++14,Data,1,32768000,2,destination,1,0,0,iteration,1,s
23,haMSb,44949, ZMQ v4.3.2,full,2.5.0 (2020-04-26),2.5.0 (2020,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-04-28,Visual Studio 15 2017 x64 Windows-10.0.18363:MSVC-19.16.27026.1,Visual Studio 15 2017,Windows,10.0.18363,x64,MSVC,19.16.27026.1,[],AMD64,AMD Ryzen Threadripper 1950X 16-Core Processor,2020-04-28 23:26:24,SIRIUS,32,3394,False,release, /DWIN32 /D_WINDOWS /GR /EHsc /O2 /Ob2 /DNDEBUG /machine:x64 /EHsc;/std:c++14,Unified,2,524288000,2,nan,1,0,0,iteration,1,s
24,iQojd,8288, ZMQ v4.2.5,full,2.3.1-develop-gfb405d78-dirty (2019-11-27),2.3.1,4.2.5,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-11-27,Unix Makefiles Linux-4.4.0-17763-Microsoft:GNU-7.4.0,Unix Makefiles,Linux,4.4.0-17763-Microsoft:,,GNU,7.4.0,"[0.52, 0.58, 0.59]",x86_64,Intel(R) Xeon(R) CPU E5-1620 v3 @ 3.50GHz,2019-11-27 16:10:45,STEADMAN,8,3501,False,release,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,,,,,nan,3,0,0,iteration,1,s
25,kkJWd,53335, ZMQ v4.3.2,full,2.5.1-develop-g80ecfd1e (2020-06-04),2.5.1,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-06-04,Visual Studio 16 2019 x64 Windows-10.0.17763:MSVC-19.26.28806.0,Visual Studio 16 2019,Windows,10.0.17763,x64,MSVC,19.26.28806.0,[],AMD64,Intel(R) Xeon(R) W-2295 CPU @ 3.00GHz,2020-06-05 06:37:23,LEAVITT,36,3000,False,release, /DWIN32 /D_WINDOWS /GR /EHsc /arch:AVX512 /O2 /Ob2 /DNDEBUG  /machine:x64 /EHsc;/std:c++14,Data,1,32768000,2,nan,1,0,0,iteration,1,s
26,m2pv2,47398, ZMQ v4.3.2,full,2.5.0 (2020-04-26),2.5.0 (2020,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-04-29,Visual Studio 15 2017 x64 Windows-10.0.18363:MSVC-19.16.27039.0,Visual Studio 15 2017,Windows,10.0.18363,x64,MSVC,19.16.27039.0,[],AMD64,AMD Ryzen Threadripper 1950X 16-Core Processor,2020-04-30 21:22:46,SIRIUS,32,3394,False,release, /DWIN32 /D_WINDOWS /GR /EHsc /O2 /Ob2 /DNDEBUG /machine:x64 /EHsc;/std:c++14,Data,1,32768000,2,nan,2,0,0,iteration,1,s
27,mrVM5,21373, ZMQ v4.2.5,full,2.3.1-develop-g0bee191d (2019-12-04),2.3.1,4.2.5,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-12-04,Unix Makefiles  Linux-4.4.0-17763-Microsoft:Clang-6.0.0,Unix Makefiles,Linux,4.4.0-17763-Microsoft:,,Clang,6.0.0,"[0.52, 0.58, 0.59]",x86_64,Intel(R) Xeon(R) CPU E5-1620 v3 @ 3.50GHz,2019-12-04 18:06:04,STEADMAN,8,3501,False,debug,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,,,,,nan,1,0,0,iteration,1,s
28,nELgm,26824, ZMQ v4.1.5,full,2.3.1-develop-g1020c1f0-dirty (2019-12-16),2.3.1,4.1.5,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-12-16,Unix Makefiles  Linux-3.10.0-1062.7.1.1chaos.ch6.x86_64:GNU-4.9.3,Unix Makefiles,Linux,3.10.0-1062.7.1.1chaos.ch6.x86_64:,,GNU,4.9.3,"[0.4, 0.11, 0.08]",x86_64,AMD EPYC 7401 24-Core Processor,2019-12-16 10:14:59,corona72,96,2000,False,release,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,Instruction,1,64000000,2,nan,1,0,0,iteration,1,s
29,nFcDp,14645, ZMQ v4.3.1,full,2.3.1-benchmark_old_cmake-g1855105d-dirty (2019-11-29),2.3.1,4.3.1,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-11-29,MSYS Makefiles Windows-10.0.18362:GNU-9.2.0,MSYS Makefiles,Windows,10.0.18362,,GNU,9.2.0,[],AMD64,AMD Ryzen Threadripper 1950X 16-Core Processor,2019-11-29 06:15:02,SIRIUS,32,3394,False,release,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,Unified,2,524288000,2,nan,1,0,0,iteration,1,s
30,p8BJW,10100, ZMQ v4.3.1,full,2.3.1-benchmark_old_cmake-g1855105d-dirty (2019-11-28),2.3.1,4.3.1,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-11-28,MSYS Makefiles Windows-10.0.18362:GNU-9.2.0,MSYS Makefiles,Windows,10.0.18362,,GNU,9.2.0,[],AMD64,AMD Ryzen Threadripper 1950X 16-Core Processor,2019-11-28 15:48:23,SIRIUS,32,3394,False,release,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,Unified,3,8388608000,8,nan,1,0,0,iteration,1,s
31,r1Nr5,22862, ZMQ v4.3.2,full,2.3.1-develop-g1a6e07c4-dirty (2019-12-05),2.3.1,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-12-05,Visual Studio 15 2017 x64 Windows-10.0.18362:MSVC-19.16.27026.1,Visual Studio 15 2017,Windows,10.0.18362,x64,MSVC,19.16.27026.1,[],AMD64,AMD Ryzen Threadripper 1950X 16-Core Processor,2019-12-05 22:08:27,SIRIUS,32,3394,False,release, /DWIN32 /D_WINDOWS /W3 /GR /EHsc /MD /O2 /Ob2 /DNDEBUG /machine:x64 /EHsc;/std:c++14,Unified,3,8388608000,8,nan,1,0,0,iteration,1,s
32,wQ0ju,51029, ZMQ v4.3.2,full,2.5.0 (2020-04-26),2.5.0 (2020,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-05-02,Visual Studio 16 2019 x64 Windows-10.0.18363:MSVC-19.25.28614.0,Visual Studio 16 2019,Windows,10.0.18363,x64,MSVC,19.25.28614.0,[],AMD64,AMD Ryzen Threadripper 1950X 16-Core Processor,2020-05-02 23:34:48,SIRIUS,32,3394,False,release, /DWIN32 /D_WINDOWS /GR /EHsc /O2 /Ob2 /DNDEBUG /GL /LTCG /arch:AVX2 /machine:x64 /EHsc;/std:c++14,Instruction,1,65536000,2,nan,1,0,0,iteration,1,s
33,y0Y3K,21197, ZMQ v4.2.5,full,2.3.1-develop-g0bee191d (2019-12-03),2.3.1,4.2.5,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-12-03,Unix Makefiles  Linux-4.4.0-17763-Microsoft:GNU-7.4.0,Unix Makefiles,Linux,4.4.0-17763-Microsoft:,,GNU,7.4.0,"[0.52, 0.58, 0.59]",x86_64,Intel(R) Xeon(R) CPU E5-1620 v3 @ 3.50GHz,2019-12-03 18:36:30,STEADMAN,8,3501,False,release,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,,,,,nan,1,0,0,iteration,1,s
34,z3sAp,14260, ZMQ v4.3.2,full,2.3.1-benchmark_old_cmake-g9fe5f995-dirty (2019-11-29),2.3.1,4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-11-29,Visual Studio 16 2019 Windows-10.0.18362:MSVC-19.23.28106.4,Visual Studio 16 2019,Windows,10.0.18362,,MSVC,19.23.28106.4,[],AMD64,AMD Ryzen Threadripper 1950X 16-Core Processor,2019-11-29 22:54:13,SIRIUS,32,3394,False,release, /DWIN32 /D_WINDOWS /W3 /GR /EHsc /MD /O2 /Ob2 /DNDEBUG /machine:X86 /EHsc;/std:c++14,Unified,2,524288000,2,nan,1,0,0,iteration,1,s
