,run_id,time_unit,zmq_version,benchmark_type,helics_version_string,helics_version,zmq_version_string,path,compiler_info_string,generator,system,system_version,platform,cxx_compiler,cxx_compiler_version,build_flags_string,host_processor,host_processor_string,date,host_name,num_cpus,mhz_per_cpu,cpu_scaling_enabled,load_avg,library_build_type,type,level,size,num_sharing,filter_location,iterations,repetition_index,repetitions,run_type,threads
10,C5EKi,s,4.3.2,key,2.3.1-timing_benchmarks-gca98d51d-dirty (2019-12-18),2.3.1, ZMQ v4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-12-18,Visual Studio 15 2017 x64 Windows-10.0.17763:MSVC-19.12.25835.0,Visual Studio 15 2017,Windows,10.0.17763,x64,MSVC,19.12.25835.0, /DWIN32 /D_WINDOWS /W3 /GR /EHsc /MD /O2 /Ob2 /DNDEBUG /machine:x64 /EHsc;/std:c++14,AMD64,Intel(R) Xeon(R) CPU E5-1620 v3 @ 3.50GHz,12/18/19 14:43:13,STEADMAN,8,3492,False,[],release,Unified,2.0,262144000.0,2.0,,1,0,0,iteration,1
11,FDxov,s,4.3.2,key,2.5.0-develop-g3830ba9b (2020-05-15),2.5.0, ZMQ v4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-05-15,Unix Makefiles  Linux-4.15.0-1052-aws:GNU-9.3.0,Unix Makefiles,Linux,4.15.0-1052-aws:,,GNU,9.3.0,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,x86_64,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,2020-05-15 09:25:14,de44a44f4bf9,36,3386,False,"[9.95, 17.19, 23.27]",debug,Unified,3.0,25344000000.0,36.0,,1,0,0,iteration,1
12,HHVqr,s,4.3.2,key,2.3.1-develop-g283b76c1 (2019-12-10),2.3.1, ZMQ v4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-12-10,Unix Makefiles  Linux-4.15.0-1052-aws:GNU-9.2.1,Unix Makefiles,Linux,4.15.0-1052-aws:,,GNU,9.2.1,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,x86_64,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,2019-12-10 09:19:02,76c73be6f872,36,3400,False,"[15.57, 13.85, 14.28]",debug,Unified,2.0,1024000000.0,2.0,,1,0,0,iteration,1
13,KQmXa,s,4.3.2,key,2.5.0-develop-g644b71a2 (2020-04-21),2.5.0, ZMQ v4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-04-21,Unix Makefiles  Linux-4.15.0-1052-aws:GNU-9.2.1,Unix Makefiles,Linux,4.15.0-1052-aws:,,GNU,9.2.1,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,x86_64,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,2020-04-21 09:28:46,cebe2a4b92cb,36,3398,False,"[20.65, 16.78, 13.57]",debug,Unified,2.0,1024000000.0,2.0,,1,0,0,iteration,1
14,MNSrO,s,4.3.2,key,2.3.1-develop-geb898f47 (2020-01-24),2.3.1, ZMQ v4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-01-24,Unix Makefiles  Linux-4.15.0-1052-aws:GNU-9.2.1,Unix Makefiles,Linux,4.15.0-1052-aws:,,GNU,9.2.1,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,x86_64,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,2020-01-24 09:29:43,44a5ed61426c,36,3400,False,"[33.42, 19.3, 17.6]",debug,Data,1.0,32000000.0,2.0,,1,0,0,iteration,1
15,MZhy4,s,4.3.1,key,2.4.1-develop-g805f0784 (2020-03-25),2.4.1, ZMQ v4.3.1,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-03-25,Unix Makefiles  Linux-4.19.97-v7l+:GNU-8.3.0,Unix Makefiles,Linux,4.19.97-v7l+:,,GNU,8.3.0, -latomic -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,armv7l,ARMv7 Processor rev 3 (v7l),2020-03-25 16:59:32,raspberrypi,4,1500,True,"[0.79, 0.66, 1.18]",debug,,,,,,1,0,0,iteration,1
16,Md3vp,s,4.3.2,key,2.3.1-benchmark_old_cmake-g1855105d-dirty (2019-11-28),2.3.1, ZMQ v4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-11-28,Visual Studio 15 2017 Windows-10.0.18362:MSVC-19.16.27026.1,Visual Studio 15 2017,Windows,10.0.18362,,MSVC,19.16.27026.1, /DWIN32 /D_WINDOWS /W3 /GR /EHsc /MD /O2 /Ob2 /DNDEBUG /machine:x64 /EHsc;/std:c++14,AMD64,AMD Ryzen Threadripper 1950X 16-Core Processor,11/28/19 07:45:58,SIRIUS,32,3394,False,[],release,Unified,3.0,8388608000.0,8.0,,1,0,0,iteration,1
17,Mjm3Q,s,4.3.2,key,2.5.1-develop-gbcb9010b (2020-05-31),2.5.1, ZMQ v4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-05-31,Unix Makefiles  Linux-4.15.0-1052-aws:GNU-9.3.0,Unix Makefiles,Linux,4.15.0-1052-aws:,,GNU,9.3.0,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,x86_64,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,2020-05-31 09:21:23,bd423026f7bb,36,3300,False,"[38.77, 38.69, 37.67]",debug,Data,1.0,32000000.0,2.0,,1,0,0,iteration,1
18,NxQNi,s,4.3.2,key,2.5.1-develop-g6bf1fc3d (2020-06-02),2.5.1, ZMQ v4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2020-06-02,Unix Makefiles  Linux-5.3.0-1017-aws:GNU-9.3.0,Unix Makefiles,Linux,5.3.0-1017-aws:,,GNU,9.3.0,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,x86_64,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,2020-06-02 09:21:08,a9435cde2838,36,3400,False,"[10.71, 12.54, 15.18]",debug,Data,1.0,32000000.0,2.0,,1,0,0,iteration,1
19,ProMi,s,4.3.2,key,2.3.1-develop-g0f37a715 (2019-12-22),2.3.1, ZMQ v4.3.2,C:\Users\barn553\Documents\helics_benchmark_results\benchmark_results\2019-12-22,Unix Makefiles  Linux-4.15.0-1052-aws:GNU-9.2.1,Unix Makefiles,Linux,4.15.0-1052-aws:,,GNU,9.2.1,  -O3 -DNDEBUG  $<$<COMPILE_LANGUAGE:CXX>:-std=c++14>,x86_64,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,2019-12-22 09:37:18,9f5af56d8ba8,36,2843,False,"[0.24, 1.93, 3.69]",debug,Unified,2.0,1024000000.0,2.0,,1,0,0,iteration,1
